_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active,Year,Outbreak Duration (days)
3405,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-11,2022-01-23,n,2022,12
3406,Sunnybrook Health Sciences Centre - Veterans Centre -,2075 Bayview Ave - LFSW,ltch,respiratory,COVID-19,N/A,2022-01-11,2022-02-07,n,2022,27
3407,University Health Network - University Centre - 7S,550 University Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-11,2022-01-22,n,2022,11
3408,University Health Network - University Centre - 8S,550 University Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-11,2022-01-25,n,2022,14
3409,Bradgate Arms - 3rd Fl & Kitchen,54 Foxbar Rd,ltch,respiratory,COVID-19,N/A,2022-01-10,2022-01-21,n,2022,11
3410,Centre for Addiction and Mental Health - Queen Street Site -,1001 Queen Street West - Unit 3-5,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-10,2022-02-01,n,2022,22
3411,Salvation Army Toronto Grace Health Centre - 4th Fl,650 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-10,2022-01-31,n,2022,21
3412,Scarborough Health Network - Birchmount - 4B-Stroke Unit,3030 Birchmount Rd.,hospital-acute care,respiratory,COVID-19,N/A,2022-01-10,2022-01-29,n,2022,19
3413,Unity Health Toronto - Houses of Providence - HOP 4 West,3276 St. Clair Avenue East,ltch,respiratory,COVID-19,N/A,2022-01-10,2022-02-10,n,2022,31
3414,Unity Health Toronto - Providence - A4,3276 St. Clair Avenue East,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-10,2022-01-21,n,2022,11
3415,University Health Network - Toronto General - ES 9,200 Elizabeth Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-10,2022-01-26,n,2022,16
3416,Scarborough Health Network - Centenary - 3E Rehab,2867 Ellesmere Road,hospital-acute care,respiratory,COVID-19,N/A,2022-01-09,2022-02-04,n,2022,26
3417,Sinai Health System - Hennick Bridgepoint Hospital - 3N,1 Bridgepoint Dr,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-09,2022-02-04,n,2022,26
3418,Sinai Health System - Mount Sinai - 9S,600 University Avenue,hospital-acute care,respiratory,COVID-19,N/A,2022-01-09,2022-01-18,n,2022,9
3419,University Health Network - Toronto Western - 9A Ortho,399 Bathurst Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-09,2022-01-18,n,2022,9
3420,Scarborough Health Network - Scarborough General -,3030 Lawrence Ave. E. - CP3 Surgery,hospital-acute care,respiratory,COVID-19,N/A,2022-01-08,2022-02-01,n,2022,24
3421,Scarborough Health Network - Scarborough General -,3030 Lawrence Ave. E. - T7 Medicine,hospital-acute care,respiratory,COVID-19,N/A,2022-01-08,2022-01-26,n,2022,18
3422,Unity Health Toronto - St. Joseph's - 2M,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2022-01-08,2022-01-22,n,2022,14
3423,William Osler Health System - 9E,101 Humber College Boulevard,hospital-acute care,respiratory,COVID-19,N/A,2022-01-08,2022-01-23,n,2022,15
3424,Bethseda Home (Belgreen),67 Belgreen Ave,retirement home,respiratory,COVID-19,N/A,2022-01-07,2022-02-15,n,2022,39
3425,Delmanor Wynford,187 Wynford Dr,retirement home,respiratory,COVID-19,N/A,2022-01-07,2022-01-25,n,2022,18
3426,Mon Sheong Home for the Aged - 2nd Fl & Kitchen,36 D'Arcy St,ltch,respiratory,COVID-19,N/A,2022-01-07,2022-02-01,n,2022,25
3427,One Kenton Place,1-3 Kenton Dr,retirement home,respiratory,COVID-19,N/A,2022-01-07,2022-02-08,n,2022,32
3428,Scarborough Health Network - Centenary - 5E,2867 Ellesmere Road,hospital-acute care,respiratory,COVID-19,N/A,2022-01-07,2022-01-24,n,2022,17
3429,Sinai Health System - Mount Sinai - 12S,600 University Avenue,hospital-acute care,respiratory,COVID-19,N/A,2022-01-07,2022-01-17,n,2022,10
3430,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2022-01-07,2022-02-10,n,2022,34
3431,Unity Health Toronto - St. Michael's - 14CC,30 Bond Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-07,2022-01-21,n,2022,14
3432,University Health Network - Lyndhurst - 1B,520 Sutherland Drive,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-07,2022-01-23,n,2022,16
3433,West Park Healthcare Centre - 2EA-MSCCC,82 Buttonwood Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-07,2022-01-22,n,2022,15
3434,Ina Grafton Gage Home,40 Bell Estate Rd,ltch,respiratory,COVID-19,N/A,2022-01-06,2022-02-16,n,2022,41
3435,Scarborough Health Network - 3W Margaret Birch Wing (MBW),2867 Ellesmere Road,hospital-acute care,respiratory,COVID-19,N/A,2022-01-06,2022-01-23,n,2022,17
3436,Sunnybrook Health Sciences Centre - St. John's Rehab - A2,285 Cummer Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-06,2022-01-15,n,2022,9
3437,Sunnybrook Health Sciences Centre - Veterans Centre -,2075 Bayview Ave - LGSE,ltch,respiratory,COVID-19,N/A,2022-01-06,2022-01-19,n,2022,13
3438,Unity Health Toronto - St. Joseph's - 2LM,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2022-01-06,2022-01-18,n,2022,12
3439,University Health Network - Lyndhurst - 2B,520 Sutherland Drive,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-06,2022-01-21,n,2022,15
3440,William Osler Health System - 7E Cardiology,101 Humber College Boulevard,hospital-acute care,respiratory,COVID-19,N/A,2022-01-06,2022-01-23,n,2022,17
3441,Atrium at Kew Beach Retirement Residence - 2nd Fl,500 Kingston Rd.,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-05,2022-02-09,n,2022,35
3442,Forest Hill Place,645 Castlefield Ave,ltch,respiratory,COVID-19,N/A,2022-01-05,2022-01-26,n,2022,21
3443,Humber River Hospital - York Finch - 3rd Fl,2111 Finch Avenue West,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-05,2022-01-24,n,2022,19
3444,Sage Care Retirement Home,147 Elder Street,retirement home,respiratory,COVID-19,N/A,2022-01-05,2022-02-12,n,2022,38
3445,Sunnybrook Health Sciences Centre - Bayview Campus - D3,2075 Bayview Avenue,hospital-acute care,respiratory,COVID-19,N/A,2022-01-05,2022-01-28,n,2022,23
3446,Sunnybrook Health Sciences Centre - Church Site - A3S,200 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-05,2022-01-17,n,2022,12
3447,Unity Health Toronto - Houses of Providence - HOP 1 West,3276 St. Clair Avenue East,ltch,respiratory,COVID-19,N/A,2022-01-05,2022-01-22,n,2022,17
3448,Unity Health Toronto - Houses of Providence - HOP 2 East,3276 St. Clair Avenue East,ltch,respiratory,COVID-19,N/A,2022-01-05,2022-01-20,n,2022,15
3449,University Health Network - Toronto General - 7 A & B,200 Elizabeth Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-05,2022-01-16,n,2022,11
3450,University Health Network - Toronto Western - 5B,399 Bathurst Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-05,2022-01-27,n,2022,22
3451,Baycrest Hospital - 5 West,3560 Bathurst Street,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-04,2022-01-14,n,2022,10
3452,Belmont House - Dietary,55 Belmont Street,retirement home,respiratory,COVID-19,N/A,2022-01-04,2022-01-31,n,2022,27
3453,Centre for Addiction and Mental Health - Queen Street Site -,1001 Queen Street West - Unit 3-2,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-04,2022-01-26,n,2022,22
3454,Michael Garron Hospital - B5 Medicine,825 Coxwell Avenue,hospital-acute care,respiratory,COVID-19,N/A,2022-01-04,2022-01-13,n,2022,9
3455,Scarborough Health Network - General Hospital -,3030 Lawrence Ave. E. - 4E Medicine,hospital-acute care,respiratory,COVID-19,N/A,2022-01-04,2022-01-16,n,2022,12
3456,Scarborough Health Network - General Hospital -,3030 Lawrence Ave. E. - T2 Nephrology,hospital-acute care,respiratory,COVID-19,N/A,2022-01-04,2022-01-18,n,2022,14
3457,St. Hilda's Towers,2339 Dufferin St,retirement home,respiratory,COVID-19,N/A,2022-01-04,2022-01-24,n,2022,20
3458,University Health Network - Toronto Western - 6A,399 Bathurst Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-04,2022-01-18,n,2022,14
3459,University Health Network - Toronto Western - 8A,399 Bathurst Street,hospital-acute care,respiratory,COVID-19,N/A,2022-01-04,2022-02-10,n,2022,37
3460,West Park Long Term Care Centre - Glenwyld & Raymore Unit,82 Buttonwood Ave,ltch,respiratory,COVID-19,N/A,2022-01-04,2022-01-19,n,2022,15
3461,Extendicare Bayview - South West & East,550 Cummer Ave,ltch,respiratory,COVID-19,N/A,2022-01-03,2022-02-21,n,2022,49
3462,Humber River Hospital - Church (Memorial) - HB,200 Church Street,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-03,2022-01-18,n,2022,15
3463,Trillium Health Partners - McCall Continuing Care - 4th Fl,140 Sherway Drive,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-03,2022-01-30,n,2022,27
3464,Lakeshore Lodge,3197 Lakeshore Blvd,ltch,respiratory,COVID-19,N/A,2022-01-02,2022-02-12,n,2022,41
3465,North York General Hospital - Finch Site - 6 West,2111 Finch Ave W,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-02,2022-01-22,n,2022,20
3466,Sunnybrook Health Sciences Centre - St. John's Rehab - A4,285 Cummer Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-02,2022-01-14,n,2022,12
3467,Sunnybrook Health Sciences Centre - Veterans Centre -,2075 Bayview Ave - LGSW,ltch,respiratory,COVID-19,N/A,2022-01-02,2022-01-19,n,2022,17
3468,Trillium Health Partners - Church Site - 6B,200 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-02,2022-01-27,n,2022,25
3469,Unity Health Toronto - St. Joseph's - 4L,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2022-01-02,2022-01-15,n,2022,13
3470,Unity Health Toronto - St. Joseph's - 6M,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2022-01-02,2022-01-18,n,2022,16
3471,University Health Network - Bickle Centre - South 4,130 Dunn Avenue,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-02,2022-02-03,n,2022,32
3472,Carefirst Transitional Care Centre,300 Silver Star Blvd,retirement home,respiratory,COVID-19,N/A,2022-01-01,2022-01-19,n,2022,18
3473,Humber River Hospital - York Finch - 6E,2111 Finch Avenue West,hospital-chronic care,respiratory,COVID-19,N/A,2022-01-01,2022-01-25,n,2022,24
3474,Scarborough Health Network - Scarborough General -,3030 Lawrence Ave. E - 3C - General Surgery,hospital-acute care,respiratory,COVID-19,N/A,2022-01-01,2022-01-31,n,2022,30
3475,The Teddington,4 Teddington Park Avenue,retirement home,respiratory,COVID-19,N/A,2022-01-01,2022-02-08,n,2022,38
3476,Chester Village - 1W & 4W,3555 Danforth Ave,ltch,respiratory,COVID-19,N/A,2023-12-31,2024-02-03,n,2023,34
3477,Belmont House - 2 East,55 Belmont St,ltch,respiratory,COVID-19,N/A,2023-12-30,2024-01-10,n,2023,11
3478,The Jewish Home for the Aged -  2nd Fl (2RF),3560 Bathurst St,ltch,respiratory,COVID-19,N/A,2023-12-30,2024-01-06,n,2023,7
3479,The Village of Humber Heights - 3E (Islington),2245 Lawrence Ave W,ltch,respiratory,Parainfluenza,N/A,2023-12-30,2024-01-16,n,2023,17
3480,Unity Health Toronto - St. Joseph's - 3M,30 The Queensway,hospital-acute care,respiratory,COVID-19,N/A,2023-12-30,2024-01-06,n,2023,7
3481,Chartwell Grenadier Retirement Residence - 2nd Fl (Building D),2100 Bloor St W,retirement home,respiratory,COVID-19,N/A,2023-12-29,2024-01-14,n,2023,16
3482,Delmanor Wynford - 4th Fl,187 Wynford Dr,retirement home,respiratory,Respiratory syncytial virus,N/A,2023-12-29,2024-01-06,n,2023,8
3483,Midland Gardens - 4th & 5th Fl,130 Midland Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2023-12-29,2024-01-26,n,2023,28
3484,Mon Sheong Scarborough LTC Centre - 3rd South,2030 McNicoll Ave,ltch,respiratory,Respiratory syncytial virus,N/A,2023-12-29,2024-01-17,n,2023,19
3485,Shepherd Lodge - 4th Fl South,3760 Shepherd Ave E,ltch,respiratory,Respiratory syncytial virus,N/A,2023-12-29,2024-01-17,n,2023,19
3486,Unity Health Toronto - Houses of Providence - HOP 1W (Maple & Balsam),76 St. Clair Ave E,ltch,respiratory,Coronavirus*,Influenza A (Not subtyped),2023-12-29,2024-01-12,n,2023,14
3487,Valleyview Residence - 4E,541 Finch Ave W,ltch,respiratory,Metapneumovirus,N/A,2023-12-29,2024-01-16,n,2023,18
3488,Cedarhurst Dementia Care Home - 1 West & 2 East,2601 Bayview Ave,retirement home,respiratory,COVID-19,N/A,2023-12-28,2024-01-18,n,2023,21
3489,Deerwood Creek Care Community - 1A,70 Humberline Dr,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-28,2024-01-12,n,2023,15
3490,Extendicare Scarborough - 2nd Fl,3830 Lawrence Ave E,ltch,respiratory,Respiratory syncytial virus,N/A,2023-12-28,2024-01-22,n,2023,25
3491,Harold and Grace Baker - Main Fl,1 Northwestern Ave,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-28,2024-01-08,n,2023,11
3492,Ina Grafton Gage Home - Unit 2,40 Bell Estate Rd,ltch,respiratory,COVID-19,N/A,2023-12-28,2024-01-05,n,2023,8
3493,North York General Hospital - Branson Site - RCC 3,555 Finch Ave West,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-28,2024-01-08,n,2023,11
3494,"Presentation Manor For Seniors - 1st, 2nd, 3rd & 4th Fl",61 Fairfax Cres,retirement home,respiratory,COVID-19,N/A,2023-12-28,2024-02-15,n,2023,49
3495,Tony Stacey Centre for Veterans' Care - 1 East & 1 North,59 Lawson Rd,ltch,respiratory,COVID-19,N/A,2023-12-28,2024-01-18,n,2023,21
3496,Bendale Acres - 2 East Unit,2920 Lawrence Ave E,ltch,respiratory,COVID-19,N/A,2023-12-27,2024-01-22,n,2023,26
3497,Chartwell Guildwood Retirement Residence,65 Livingston Rd,retirement home,enteric,Norovirus,N/A,2023-12-27,2024-01-22,n,2023,26
3498,Fudger House - 1st Fl West,439 Sherbourne St,ltch,respiratory,Coronavirus*,N/A,2023-12-27,2023-12-29,n,2023,2
3499,Hazelton Place Retirement Residence - 3rd & 8th Fl,111 Ave Rd,retirement home,respiratory,COVID-19,N/A,2023-12-27,2024-01-08,n,2023,12
3500,Midland Gardens Care Community - 4th & 5th Fl,130 Midland Ave,ltch,respiratory,COVID-19,N/A,2023-12-27,2024-01-08,n,2023,12
3501,Tapestry at Village Gate West - 6th & 8th Fl,15 Summerland Terr,retirement home,respiratory,COVID-19,N/A,2023-12-27,2024-01-09,n,2023,13
3502,TEHN - Atrium At Kew Beach - 3rd Fl (MGH Associated Unit),500 Kingston Rd,hospital-chronic care,respiratory,Influenza A (Not subtyped),Enterovirus/ Rhinovirus,2023-12-27,2024-01-05,n,2023,9
3503,Terraces of Baycrest - 11th Fl,55 Ameer Ave,retirement home,respiratory,COVID-19,N/A,2023-12-27,2024-01-08,n,2023,12
3504,"The Kensington Gardens - 2E, 3W & 4E",25 Brunswick Ave,ltch,respiratory,COVID-19,N/A,2023-12-27,2024-01-15,n,2023,19
3505,Trillium Health Partners - McCall Continuing Care - 3rd Fl,140 Sherway Drive,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-27,2024-01-13,n,2023,17
3506,University Health Network - Bickle Centre - 3 North,130 Dunn Ave,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-27,2024-01-06,n,2023,10
3507,Wesburn Manor - 3 North & 4 South,400 The West Mall,ltch,respiratory,Metapneumovirus,N/A,2023-12-27,2024-01-15,n,2023,19
3508,Centre For Addiction and Mental Health - Unit 1-3 (LGUB),1001 Queen St West,hospital-psychiatric,respiratory,COVID-19,N/A,2023-12-26,2024-01-08,n,2023,13
3509,Elm Grove Living Centre - 1st Fl,35 Elm Grove Ave,ltch,enteric,Unable to identify,N/A,2023-12-26,2024-01-03,n,2023,8
3510,"Extendicare Rouge Valley - 1st Fl Clark, 1st Fl BSU, 3 Fl Morrish & 3rd Fl - Meadowvale",551 Conlins Rd,ltch,respiratory,COVID-19,N/A,2023-12-26,2024-01-19,n,2023,24
3511,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,ltch,respiratory,COVID-19,N/A,2023-12-26,2024-01-17,n,2023,22
3512,The Teddington,4 Teddington Park Ave,retirement home,respiratory,COVID-19,N/A,2023-12-26,2024-01-08,n,2023,13
3513,Baycrest Apotex Centre - Jewish Home For The Aged - 7RF,3560 Bathurst St,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-25,2024-01-03,n,2023,9
3514,Baycrest Hospital - H4W,3560 Bathurst St,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-25,2024-01-07,n,2023,13
3515,Fairview Nursing Home - 3rd Fl,14 Cross St,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-25,2024-01-11,n,2023,17
3516,Harold and Grace Baker Centre - 3rd Fl,1 Northwestern Ave,retirement home,respiratory,COVID-19,N/A,2023-12-25,2024-01-02,n,2023,8
3517,Hawthorne Place - 1st Fl (Convalescent Unit),2045 Finch Ave W,ltch,enteric,Unable to identify,N/A,2023-12-25,2023-12-31,n,2023,6
3518,The Salvation Army - Toronto Grace Health Centre - Specialized Care Centre - 5th Fl,1020 McNicoll Ave,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-25,2024-01-05,n,2023,11
3519,"Kensington Place Retirement Residence - 3rd, 5th & 6th Fl",866 Sheppard Ave,retirement home,respiratory,COVID-19,N/A,2023-12-24,2024-01-22,n,2023,29
3520,Southlake Regional Health Centre - RCU - Southlake Unit,2111 Finch Ave W,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-24,2024-01-08,n,2023,15
3521,Terraces of Baycrest - 10th Fl,55 Ameer Ave,retirement home,respiratory,COVID-19,N/A,2023-12-24,2023-12-30,n,2023,6
3522,Terraces of Baycrest - 1st Fl,55 Ameer Ave,retirement home,respiratory,COVID-19,N/A,2023-12-24,2023-12-31,n,2023,7
3523,Terraces of Baycrest - 9th Fl,55 Ameer Ave,retirement home,respiratory,COVID-19,N/A,2023-12-24,2024-01-01,n,2023,8
3524,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,hospital-chronic care,respiratory,Metapneumovirus,N/A,2023-12-24,2024-01-01,n,2023,8
3525,William Osler Health System - RCU - WOHS Unit,200 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-24,2023-12-31,n,2023,7
3526,Unity Health Toronto - Providence Healthcare Centre - B4,3276 St. Clair Ave,hospital-chronic care,enteric,Norovirus,N/A,2023-12-23,2024-01-01,n,2023,9
3527,Villa Colombo Homes for the Aged - 4th Fl,40 Playfair Ave,ltch,respiratory,COVID-19,N/A,2023-12-23,2024-01-04,n,2023,12
3528,Bill McMurray Residence,180 Sheridan Ave,retirement home,respiratory,Influenza A (Not subtyped),N/A,2023-12-22,2024-01-15,n,2023,24
3529,Craiglee Nursing Home - 1W & 3W,102 Craiglee Dr,ltch,respiratory,COVID-19,N/A,2023-12-22,2024-01-12,n,2023,21
3530,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,ltch,respiratory,Respiratory syncytial virus,N/A,2023-12-22,2024-01-06,n,2023,15
3531,Parkland On Eglinton West - 5th & 9th Fl,4650 Eglinton Ave West,retirement home,respiratory,COVID-19,N/A,2023-12-22,2024-01-05,n,2023,14
3532,Runnymede Healthcare Centre - 2 East,625 Runnymede Rd,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-22,2024-01-04,n,2023,13
3533,Trillium Health Partners - McCall Continuing Care - 4th Fl (CCC),140 Sherway Drive,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-22,2024-01-02,n,2023,11
3534,Yee Hong Centre - Scarborough Finch - 5th Fl (South Side),60 Scottfield Dr,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-22,2024-01-02,n,2023,11
3535,Cheltenham Care Community - 3rd Fl (Rose Garden),5935 Bathurst St,ltch,respiratory,COVID-19,N/A,2023-12-21,2024-01-17,n,2023,27
3536,Elm Grove Living Center,35 Elm Grove Ave,ltch,respiratory,Unable to identify,N/A,2023-12-21,2024-01-03,n,2023,13
3537,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LFSE,2075 Bayview Ave,ltch,respiratory,COVID-19,N/A,2023-12-21,2024-01-03,n,2023,13
3538,Trilliam Health Partners - Moir Family Centre CCC - Moir CC Unit,150 Sherway Dr,hospital-chronic care,respiratory,Influenza A (Not subtyped),N/A,2023-12-21,2023-12-29,n,2023,8
3539,Wesburn Manor - 2 North,400 The West Mall,ltch,respiratory,COVID-19,N/A,2023-12-21,2024-01-15,n,2023,25
3540,Centre For Addiction and Mental Health - Unit 1-2 (FGUA),1001 Queen St West,hospital-psychiatric,respiratory,COVID-19,N/A,2023-12-20,2023-12-28,n,2023,8
3541,Humber Valley Terrace - 2nd Fl,95 Humber College Blvd,ltch,respiratory,COVID-19,N/A,2023-12-20,2023-12-30,n,2023,10
3542,Terraces of Baycrest - 8th Fl,55 Ameer Ave,retirement home,respiratory,COVID-19,N/A,2023-12-20,2023-12-27,n,2023,7
3543,University Health Network - Toronto Western - 8A,399 Bathurst St,hospital-acute care,respiratory,COVID-19,N/A,2023-12-20,2023-12-29,n,2023,9
3544,"Amica Bayview Village - 5th, 7th & 8th Fl",15 Barberry Pl,retirement home,respiratory,COVID-19,N/A,2023-12-19,2024-01-24,n,2023,36
3545,Hillcrest Reactivation Centre - 3rd Fl,47 Austin Terr,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-19,2024-01-02,n,2023,14
3546,Lakeshore Lodge - 3rd & 4th Fl,3197 Lakeshore Blvd,ltch,respiratory,COVID-19,N/A,2023-12-19,2024-01-10,n,2023,22
3547,Main Street Terrace,77 Main St,ltch,respiratory,COVID-19,N/A,2023-12-19,2024-01-19,n,2023,31
3548,North Park Nursing Home - 1st Fl,450 Rustic Rd,ltch,respiratory,COVID-19,N/A,2023-12-19,2023-12-28,n,2023,9
3549,Shepherd Lodge - 6 North & 6 South,3760 Sheppard Ave East,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-19,2024-01-08,n,2023,20
3550,The Jewish Home for the Aged - 4EI,3560 Bathurst St,ltch,respiratory,COVID-19,N/A,2023-12-19,2023-12-25,n,2023,6
3551,Unity Health Toronto - Providence - A4,3276 St. Clair Ave East,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-19,2023-12-27,n,2023,8
3552,Chartwell Trilogy Long Term Care Residence - 6 & 7 Th Fl,340 McCowan Rd,ltch,respiratory,Influenza A (Not subtyped),N/A,2023-12-18,2023-12-28,n,2023,10
3553,Deerwood Creek Care Community - 3rd Fl (3B),70 Humberline Dr,ltch,respiratory,COVID-19,N/A,2023-12-18,2024-01-12,n,2023,25
3554,Extendicare Bayview - West Unit,550 Cummer Ave,ltch,respiratory,COVID-19,N/A,2023-12-18,2024-01-02,n,2023,15
3555,Extendicare Rouge Valley - Toronto - 2nd Fl (Cedar Ridge House),551 Conlins Rd,ltch,respiratory,COVID-19,N/A,2023-12-18,2023-12-25,n,2023,7
3556,"Fountain View Care Community - 2A, 2B & 3B",1800 O'Connor Dr,ltch,respiratory,COVID-19,N/A,2023-12-18,2024-01-30,n,2023,43
3557,"Fudger House - 2 East, 3 East & 3 West",439 Sherbourne St,ltch,respiratory,COVID-19,N/A,2023-12-18,2024-01-11,n,2023,24
3558,North York General Hospital - 7N,4001 Leslie St,hospital-acute care,respiratory,COVID-19,N/A,2023-12-18,2023-12-31,n,2023,13
3559,Retirement Suites by the Lake - Toronto - Facility Wide,2121 Kingston Rd,retirement home,respiratory,COVID-19,N/A,2023-12-18,2024-01-08,n,2023,21
3560,Scarborough Retirement Residence,148 Markham Rd,retirement home,respiratory,COVID-19,N/A,2023-12-18,2024-01-15,n,2023,28
3561,The Jewish Home for the Aged - 5GS,3560 Bathurst St,ltch,respiratory,COVID-19,N/A,2023-12-18,2024-01-07,n,2023,20
3562,The Russell Hill Retirement Residence,262 St. Clair Ave W,retirement home,respiratory,COVID-19,N/A,2023-12-18,2023-12-25,n,2023,7
3563,Toronto East Health Network - Michael Garron Hospital - A2,825 Coxwell Ave,hospital-acute care,respiratory,COVID-19,N/A,2023-12-18,2023-12-26,n,2023,8
3564,Unity Health Toronto - Houses of Providence - HOP 2W (Elm & Pine),3276 St Clair Ave E,ltch,respiratory,COVID-19,N/A,2023-12-18,2023-12-27,n,2023,9
3565,Unity Health Toronto - RCC Church - 4B,200 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-18,2023-12-26,n,2023,8
3566,Unity Health Toronto - St. Michael's - 9CCN,30 Bond St,hospital-acute care,respiratory,COVID-19,N/A,2023-12-18,2024-01-02,n,2023,15
3567,"Chartwell Gibson Retirement Residence - Toronto - 3rd, 4th& 5th Fl",1955 Steeles Ave E,retirement home,respiratory,COVID-19,N/A,2023-12-17,2023-12-29,n,2023,12
3568,Nisbet Lodge - 3rd Fl,740 Pape Ave,ltch,respiratory,COVID-19,N/A,2023-12-17,2023-12-28,n,2023,11
3569,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSE,2075 Bayview Ave,ltch,respiratory,COVID-19,N/A,2023-12-17,2023-12-25,n,2023,8
3570,Terraces of Baycrest - 2nd Fl,55 Ameer Ave,retirement home,enteric,Unable to identify,N/A,2023-12-17,2023-12-24,n,2023,7
3571,Trillium Health Partners - McCall Continuing Care - 2nd Fl,140 Sherway Drive,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-17,2023-12-27,n,2023,10
3572,True Davidson Acres - 4th Fl,200 Dawes Rd,ltch,respiratory,COVID-19,N/A,2023-12-17,2024-01-30,n,2023,44
3573,Ehatare Retirement Home,40 Old Kingston Rd,retirement home,respiratory,COVID-19,N/A,2023-12-16,2023-12-29,n,2023,13
3574,Hellenic Care for Seniors - Ground & 1st Fl,215 Tyrrel Ave,ltch,respiratory,COVID-19,N/A,2023-12-16,2024-01-08,n,2023,23
3575,Isabel and Arthur Meighen Manor - 3 East Lawrence Unit & 4E Dinnick Unit,155 Millwood Rd,ltch,respiratory,COVID-19,N/A,2023-12-16,2023-12-28,n,2023,12
3576,The Jewish Home for the Aged - 3GS,3560 Bathurst St,ltch,respiratory,COVID-19,N/A,2023-12-16,2023-12-22,n,2023,6
3577,North York General Hospital - General Site - 4W,4001 Leslie St,hospital-acute care,respiratory,COVID-19,N/A,2023-12-15,2024-01-04,n,2023,20
3578,North York General Hospital - General Site - 7W,4001 Leslie St,hospital-acute care,respiratory,COVID-19,N/A,2023-12-15,2024-01-02,n,2023,18
3579,Sunnybrook Health Sciences Centre - F2PICU,2075 Bayview Ave,hospital-acute care,respiratory,COVID-19,N/A,2023-12-15,2024-01-02,n,2023,18
3580,Trillium Health Partners - RCC Church - Unit 3B,200 Church St,hospital-chronic care,respiratory,COVID-19,N/A,2023-12-15,2023-12-26,n,2023,11
3581,Better Living at Thompson House,1 Overland Dr,ltch,respiratory,COVID-19,N/A,2023-12-14,2024-01-25,n,2023,42
